"Sample.Name","Biol.Rep","Year","Month","Day","TP.ug.L","TDP.ug.L","SRP.ug.L","TN.ug.L","TDN.ug.L","NO3.plus.NO2.ug.L","NO2.only.ug.L","NH4.ug.L","Notes"
"ME15Jul2015","A",2015,7,15,35.262,15.124,NA,825.856,786.561,92.465,38.723,123.562,NA
"ME15Jul2015","B",2015,7,15,39.732,15.557,NA,856.694,755.963,102.62,40.378,130.591,NA
"ME19Jul2015","A",2015,7,19,41.065,17.208,NA,811.714,742.628,71.174,38.34,102.187,NA
"ME19Jul2015","B",2015,7,19,40.771,20.446,NA,886.603,773.109,75.064,40.038,118.003,NA
"ME21Jul2015","A",2015,7,21,40.858,15.327,NA,798.136,734.445,76.32,47.168,112.18,NA
"ME21Jul2015","B",2015,7,21,39.602,15.506,NA,871.467,761.227,77.285,42.309,117.601,NA
"ME24Jul2015","A",2015,7,24,47.045,14.216,NA,945.552,740.619,67.945,53.634,124.694,NA
"ME24Jul2015","B",2015,7,24,36.103,11.969,NA,783.647,706.127,70.068,50.031,113.072,NA
"ME26Jul2015","A",2015,7,26,32.476,13.177,NA,776.91,730.889,41.317,35.998,120.814,NA
"ME26Jul2015","B",2015,7,26,35.523,13.718,NA,769.529,689.217,34.475,27.046,122.455,NA
"ME28Jul2015","A",2015,7,28,47.377,22.918,NA,831.452,808.535,65.654,64.412,214.067,NA
"ME28Jul2015","B",2015,7,28,29.783,10.889,NA,693.432,700.589,32.357,26.989,117.114,NA
"ME30Jul2015","A",2015,7,30,37.998,12.45,NA,786.324,691.535,11.784,11.703,93.946,NA
"ME30Jul2015","B",2015,7,30,34.817,11.156,NA,734.25,672.981,15.318,12.539,96.012,NA
"ME01Aug2015","A",2015,8,1,35.068,11.803,NA,775.593,707.742,4.117,6.233,98.563,NA
"ME01Aug2015","B",2015,8,1,36.563,14.088,NA,760.638,703.205,6.184,5.09,119.696,NA
"ME03Aug2015","A",2015,8,3,33.161,10.473,NA,652.637,608.677,2.451,3.442,52.884,NA
"ME03Aug2015","B",2015,8,3,37.188,9.697,NA,692.029,591.669,2.589,0.924,51.388,NA
"ME05Aug2015","A",2015,8,5,51.324,26.038,NA,806.552,773.445,1.181,3.324,241.175,NA
"ME05Aug2015","B",2015,8,5,44.349,16.475,NA,781.975,720.853,2.166,0.845,131.724,NA
"ME07Aug2015","A",2015,8,7,37.471,10.333,NA,728.641,640.213,1.393,3.107,110.401,NA
"ME07Aug2015","B",2015,8,7,31.951,10.862,NA,702.386,610.576,1.878,0.816,75.313,NA
"ME09Aug2015","A",2015,8,9,35.875,13.877,NA,736.606,707.17,1.588,2.881,124.512,NA
"ME09Aug2015","B",2015,8,9,36.913,12.111,NA,724.293,676.126,2.512,0.577,136.231,NA
"ME11Aug2015","A",2015,8,11,38.556,13.589,NA,728.22,676.481,1.894,2.81,135.537,NA
"ME11Aug2015","B",2015,8,11,38.693,17.028,NA,716.38,690.54,1.556,0.451,125.907,NA
"ME13Aug2015","A",2015,8,13,28.596,11.977,NA,587.059,585.252,1.413,2.691,46.064,NA
"ME13Aug2015","B",2015,8,13,31.337,9.15,NA,643.167,592.633,1.881,0.389,86.184,NA
"ME16Aug2015","A",2015,8,16,26.303,9.643,NA,652.316,643.446,1.873,2.766,80.656,NA
"ME16Aug2015","B",2015,8,16,27.69,10.831,NA,660.685,639.8,2.135,0.402,87.014,NA
"ME19Aug2015","A",2015,8,19,21.906,12.101,NA,585.287,557.05,2.437,2.745,24.637,NA
"ME19Aug2015","B",2015,8,19,22.041,9.559,NA,602.629,592.212,2.817,0.312,27.589,NA
"ME20Aug2015UB","A",2015,8,20,24.083,13.363,NA,536.44,531.752,2.062,2.869,10.938,"Ubay TOIL 12m sample"
"ME20Aug2015UB","B",2015,8,20,23.319,11.279,NA,530.562,513.092,5.212,0.448,10.412,"Ubay TOIL 12m sample"
"ME22Aug2015","A",2015,8,22,33.69,11.967,NA,715.741,621.597,1.494,2.751,69.177,NA
